seed_doi,seed_openalex_id,seed_title,citer_key
10.1016/j.eswa.2025.128684,https://openalex.org/W4411520163,PassionNet: An innovative framework for duplicate and conflicting requirements identification,10.1007/s40747-025-02143-w
10.1145/3696630.3728560,https://openalex.org/W4412703855,Evaluating Large Language Models for Requirements Question Answering in Industrial Aerospace Software,10.2514/6.2026-0838
10.1007/s00766-025-00442-9,https://openalex.org/W4409723137,Leveraging machines to derive domain models from user stories,10.2139/ssrn.5472929
10.1007/s00766-025-00442-9,https://openalex.org/W4409723137,Leveraging machines to derive domain models from user stories,10.1007/978-3-032-12063-2_7
10.1007/s00766-025-00442-9,https://openalex.org/W4409723137,Leveraging machines to derive domain models from user stories,10.1080/17517575.2026.2629556
10.1016/j.jss.2025.112355,https://openalex.org/W4406822256,Mining user privacy concern topics from app reviews,10.1007/s10515-025-00567-9
10.1016/j.jss.2025.112355,https://openalex.org/W4406822256,Mining user privacy concern topics from app reviews,10.1016/j.jretconser.2025.104453
10.1016/j.jss.2025.112355,https://openalex.org/W4406822256,Mining user privacy concern topics from app reviews,10.1109/access.2025.3649956
10.1016/j.jss.2025.112355,https://openalex.org/W4406822256,Mining user privacy concern topics from app reviews,10.1186/s42400-025-00459-1
10.3390/app15073502,https://openalex.org/W4408780141,Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,10.1016/j.eswa.2025.128953
10.3390/app15073502,https://openalex.org/W4408780141,Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,10.1109/icdsns65743.2025.11168758
10.3390/app15073502,https://openalex.org/W4408780141,Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,10.5753/sbbd_estendido.2025.247730
10.1016/j.eswa.2024.125524,https://openalex.org/W4403289373,Leveraging Large Language Model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks,10.3390/app15073459
10.1016/j.eswa.2024.125524,https://openalex.org/W4403289373,Leveraging Large Language Model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks,10.1115/1.4067212
10.1016/j.eswa.2024.125524,https://openalex.org/W4403289373,Leveraging Large Language Model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks,10.3390/publications13020014
