Source,ID,Authors,Title,Year,Source title,Cited by,DOI,Abstract,Done?,IC1 - LLM4RE,IC2 - Dataset,EC1 - Paper public,EC2 - Dataset public,Comments,,
Scopus,P001,,"Co-Design of Communication, Computing and Control in Cyber-Physical Systems, CoC3CPS 2025",2026,Lecture Notes in Computer Science,0,,"The proceedings contain papers. The special focus in this conference is on . The topics include: Real-Time Control Selection over the Computing Continuum; temporal Intent-Aware Multi-agent Learning for Network Optimization; Dependable AI Inference - A Work-in-Progress on CPU, Co-processor and FPGA Approaches; Methodology for Test Case Allocation Based on a Formalized ODD; Safety-Aware Strategy Synthesis for Autonomous System of Systems with UPPAAL; from Bouncing Break-ins to Frictional Firewalls: Ideas About Interacting Requirements for Vehicle Safety and Security; a ThreatGet-Based Framework for Aligning System Security with the Cyber Resilience Act; i7Fuzzer: Neural-Guided Fuzzing for Enhancing Security Testing of Stateful Protocols; HyLLM-IDS: A Conceptual Hybrid LLM-Assisted Intrusion Detection Framework for Cyber-Physical Systems; PROTECTION: Provably Robust Intrusion Detection System for IoT Through Recursive Delegation; towards Credible Simulators: A Validation Methodology for Safety-Critical Virtual Testing; cybersecurity in Partitioned Space Embedded Systems; A GSN-Based Requirement Analysis of the EU AI Regulation; a Safety Argument Fragment Towards Safe Deployment of Performant Automated Driving Systems; certus: A Domain Specific Language for Confidence Assessment in Assurance Cases; doubt in Safety Claims is Inevitable: What is its Impact, What Can be Done About It?; ensuring Information Security in Inclusive Digital Environments; Functional Safety with Model-Based Safety Analysis: A Perspective from ARP4761A; High-Performance AI Inference for Agile Deployment on Space-Qualified Processors: A Performance Benchmarking Study; SCALOFT: An Initial Approach for Situation Coverage-Based Safety Analysis of an Autonomous Aerial Drone in a Mine Environment; trick or Treat: A Study of Human Detection of Manipulative Tactics in Phishing Emails; rational Verification in Repeated Security Games; quantitative Assessment of Energy Efficiency, Comfort, and Safety in an Intelligent Heating System Under False Data Injection Attacks; cyber-Safety Assessment of Wind Turbines: A Reachability Analysis Approach Against Cyber-Attacks; Scenario Hazard Prevention for Autonomous Driving Based on Improved STPA; applying Machine Learning Towards the Recognition of Driving Behavior. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,FALSE,FALSE,FALSE,,,
Scopus,P002,"M.Y., Chow, Man Yiu; M., Kitani, Mitsuhiro",Testing Procedure Generation Based on Testing Requirements for Automotive Components with LLM Fine-Tuning,2026,Lecture Notes in Computer Science,0,10.1007/978-3-031-97144-0_18,"While a well-trained Transformer-based Large Language model has been proven to own an excellent ability to answer any question based on the input, the high accuracy of the answer output, especially for testing procedure generation based on testing requirements for automotive components focused in this paper, usually relies on either pre-training data with domain knowledge about the testing or input prompts with clear requirement instruction by well-dedicated prompt engineering. Since expensive pre-training data or instructing an overwhelming volume of untraceable tacit expertise in the input prompts is required in those general LLMs for procedure generation, it is not easy for most industries to adopt LLMs for their practical applications. This paper explores the model performance for the case when only limited domain-specific training data, around two hundred records, is available for our chosen models with fine-tuning and further provides insight into what level we can rely on fine-tuning for testing procedure generation based on Testing requirements for automotive components with BLEU evaluation. We chose Flan-T5-large and Mistral-7B as our target models with consideration for the model sizes with affordable fine-tuning methods and their few-shot prediction performance. Our results show that both fine-tuned target models can generate our expected procedures with more than 0.8 BLEU on average, while Mistral-7B can even derive new content for the procedure. © 2025 Elsevier B.V., All rights reserved.",TRUE,TRUE,TRUE,TRUE,FALSE,Pending to receive full paper,,
Scopus,P003,"E.C., Groen, Eduard C.; F., Dalpiaz, Fabiano; M., van Vliet, Martijn; B., Winter, Boris; J., Doerr, Joerg; S., Brinkkemper, Sjaak","Classification of quality characteristics in online user feedback using linguistic analysis, crowdsourcing and LLMs",2025,Journal of Systems and Software,0,10.1016/j.jss.2025.112533,"Software qualities such as usability or reliability are among the strongest determinants of mobile app user satisfaction and constitute a significant portion of online user feedback on software products, making it a valuable source of quality-related feedback to guide the development process. The abundance of online user feedback warrants the automated identification of quality characteristics, but the online user feedback's heterogeneity and the lack of appropriate training corpora limit the applicability of supervised machine learning. We therefore investigate the viability of three approaches that could be effective in low-data settings: language patterns (LPs) based on quality-related keywords, instructions for crowdsourced micro-tasks, and large language model (LLM) prompts. We determined the feasibility of each approach and then compared their accuracy. For the complex multiclass classification of quality characteristics, the LP-based approach achieved a varied precision (0.38–0.92) depending on the quality characteristic, and low recall; crowdsourcing achieved the best average accuracy in two consecutive phases (0.63, 0.72), which could be matched by the best-performing LLM condition (0.66) and a prediction based on the LLMs’ majority vote (0.68). Our findings show that in this low-data setting, the two approaches that use crowdsourcing or LLMs instead of involving experts achieved accurate classifications, while the LP-based approach had only limited potential. The promise of crowdsourcing and LLMs in this context might even extend to building training corpora. © 2025 Elsevier B.V., All rights reserved.",TRUE,TRUE,TRUE,FALSE,FALSE,,,
Scopus,P004,"N., Alturayeif, Nouf; J., Hassine, Jameleddine; I., Ahmad, Irfan",Machine learning approaches for automated software traceability: A systematic literature review,2025,Journal of Systems and Software,0,10.1016/j.jss.2025.112536,"Software traceability is the process of tracking and managing relationships between software artifacts throughout the Software Development Life-Cycle (SDLC). It ensures that all software artifacts are correctly linked, facilitating change management, impact analysis, and regulatory compliance. Automated traceability can be achieved using Information Retrieval (IR) and Machine Learning (ML) approaches. This systematic literature review summarizes and synthesizes ML-based automated traceability studies. Considering the rapid ML advancements, analyzing current research is crucial for progress in the field. We identified 59 studies published between 2014 and June 2024. We found an increase in the publications, particularly in 2023 and continuing into 2024, with sustained citation impact. Around 170 datasets from different domains are used, covering natural and programming languages artifacts. Common artifacts include use cases and source code, focusing on Requirements Analysis and Implementation phases. Existing solutions mostly use classification and supervised learning, with the emerging use of deep learning and Large Language Models (LLMs), showing superior performance. We identified challenges and gaps with future trends to guide researchers. Challenges include imbalanced datasets, data scarcity, and limited real-world data, while gaps include handling missing true links, lack of benchmark datasets, and limited exploration of LLMs. Lastly, we provide recommendations for researchers based on the findings. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,TRUE,FALSE,FALSE,,,
Scopus,P005,"S., Saleem, Summra; M.N., Asim, Muhammad Nabeel; A.R., Dengel, Andreas R.",PassionNet: An innovative framework for duplicate and conflicting requirements identification,2025,Expert Systems with Applications,0,10.1016/j.eswa.2025.128684,"Early detection of duplicate and conflicting requirements in software development lifecycle is crucial to achieve software project efficiency, quality, and market success. Primarily, duplicate detection requires identifying semantic equivalence, intent alignment, functional overlap, and domain-specific terminology variations between differently worded requirements. Whereas, conflict detection demands recognising logical contradictions, constraint violations, resource conflicts and temporal incompatibilities between requirements. To handle multi-dimensional demands of two different task types, researchers have developed 32 AI based duplicate and conflicting requirement detection predictors. However, despite the utility of sophisticated large language models (LLMs) and sampling techniques, existing approaches significantly lack in performance because they fail to comprehensively handle multi-dimensional demands of both tasks. To address these gaps, this paper presents a modular framework “PassionNet” which implements a novel strategy of integrating 10 different multi-dimensional similarity assessments with the contextual understanding of 8 unique language model variants. The framework enables three distinct pipeline types: language model-based pipelines that capture semantic intent, similarity knowledge-driven pipelines that detect lexical, structural and distributional patterns, and hybrid pipelines that combine both approaches to simultaneously assess all dimensions of requirement relationships. Our experimental evaluation of 760 pipelines across six public datasets demonstrates that hybrid pipelines outperform the other two approaches in terms of F1-score as compared to state-of-the-art methods. Specifically, the hybrid pipeline achieves an improvement in F1-score of approximately 4 % on the WorldVista dataset, 5 % on the UAV dataset and 3 % on the Pure dataset as compared to the state-of-the-art models. Statistical validation through t-tests confirms the significance of these improvements (p < 0.1 with 10 permutations, approaching zero with 1000 permutations). The results provide empirical evidence that effective requirement analysis requires simultaneously assessing semantic, lexical, structural, and logical dimensions of requirements rather than focusing on isolated aspects. To facilitate software engineers, researchers and practitioners, PassionNet web application is deployed at https://sds_requirement_engineering.opendfki.de/. © 2025 Elsevier B.V., All rights reserved.",TRUE,TRUE,TRUE,FALSE,FALSE,,,
Scopus,P006,"A., Boudribila, Abderrahmane; A., Tajer, Abdelouahed; Z., Boulghasoul, Zakaria",AutoFactory Dataset to Support AI in Manufacturing Systems,2025,Data in Brief,1,10.1016/j.dib.2025.111938,"Automating code generation in manufacturing systems requires Artificial Intelligence (AI) models capable of interpreting textual requirement specifications. One of the main challenges is the absence of publicly available, domain-specific datasets suitable for training such models. This article presents AutoFactory, an open-source dataset that includes manually written and LLM-augmented requirement specifications, annotated by domain experts for Named Entity Recognition (NER) tasks using the BIO format. AutoFactory enables the extraction and classification of key industrial components, including actuators, pre-actuators, sensors, effectors, and others. These elements correspond to real-world input and output signals in manufacturing systems. The dataset is grounded in realistic scenarios built with Factory I/O and includes 3D scenes, tag tables, and screenshots captured from multiple camera perspectives. To enhance linguistic diversity while preserving semantic intent, all specifications were expanded using large language models and evaluated through semantic similarity analysis (average cosine similarity above 0.92), complemented by manual validation to ensure consistency. To facilitate the annotation process, a custom labeling tool was developed. It runs locally to preserve data privacy and provides a user-friendly interface. The tool is adaptable to a wide range of NER tasks and allows researchers to customize labels for different domains by adding or modifying tags. To assess the practical value of the dataset, transformer-based models such as BERT and DistilBERT were fine-tuned on the annotated requirement specifications. The highest-performing model reached an F1-score of 0.95, confirming the dataset's ability to support accurate identification of key components in manufacturing systems. This combination of human expertise and AI-based augmentation provides a robust foundation for training AI systems to interpret manufacturing behaviors from text. AutoFactory contributes to ongoing research efforts aimed at enabling intelligent systems to assist in generating control code from requirement specifications, reducing reliance on manual programming in industrial automation. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,TRUE,FALSE,FALSE,Text-to-code (not RE),,
Scopus,P007,"V., Muttillo, Vittoriano; C., Di Sipio, Claudio; R., Rubei, Riccardo; L., Berardinelli, Luca",Leveraging synthetic trace generation of modeling operations for intelligent modeling assistants using large language models,2025,Information and Software Technology,2,10.1016/j.infsof.2025.107806,"Context: Due to the proliferation of generative AI models in different software engineering tasks, the research community has started to exploit those models, spanning from requirement specification to code development. Model-Driven Engineering (MDE) is a paradigm that leverages software models as primary artifacts to automate tasks. In this respect, modelers have started to investigate the interplay between traditional MDE practices and Large Language Models (LLMs) to push automation. Although powerful, LLMs exhibit limitations that undermine the quality of generated modeling artifacts, e.g., hallucination or incorrect formatting. Recording modeling operations relies on human-based activities to train modeling assistants, helping modelers in their daily tasks. Nevertheless, those techniques require a huge amount of training data that cannot be available due to several factors, e.g., security or privacy issues. Objective: In this paper, we propose an extension of a conceptual MDE framework, called MASTER-LLM, that combines different MDE tools and paradigms to support industrial and academic practitioners. Method: MASTER-LLM comprises a modeling environment that acts as the active context in which a dedicated component records modeling operations. Then, model completion is enabled by the modeling assistant trained on past operations. Different LLMs are used to generate a new dataset of modeling events to speed up recording and data collection. Results: To evaluate the feasibility of MASTER-LLM in practice, we experiment with two modeling environments, i.e., CAEX and HEPSYCODE, employed in industrial use cases within European projects. We investigate how the examined LLMs can generate realistic modeling operations in different domains. Conclusion: We show that synthetic traces can be effectively used when the application domain is less complex, while complex scenarios require human-based operations or a mixed approach according to data availability. However, generative AI models must be assessed using proper methodologies to avoid security issues in industrial domains. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,TRUE,FALSE,FALSE,"MDE, datasets related to software artifacts",,
Scopus,P008,"Q., Liu, Qingchao; R., Yu, Ruohan; Y., Cai, Yingfeng; Q., Yuan, Quan; H., Wei, Henglai; C., Lv, Chen",Collision risk prediction and takeover requirements assessment based on radar-video integrated sensors data: A system framework based on LLM,2025,Accident Analysis and Prevention,1,10.1016/j.aap.2025.108041,"There are safety risks when drivers take over the control of autonomous driving vehicles, and reducing unnecessary takeovers is essential to improve driving safety. This study seeks to develop an interpretable system framework for collision risk prediction and takeover requirements analysis (CPTR-LLM) utilizing a large language model (LLM). The model's inference performance is enhanced through the collection of extensive perception data and the design of a two-stage training strategy, reasoning chain framework, and an error detection and correction mechanism. In terms of collision risk prediction, the experimental results show that the accuracy of CPTR-LLM can reach 0.88. The Cross-sectional-autoregressive-distributed lag (ARDL) model and Augmented Mean Groups (AMG) confirm the reliability of the model's predictive performance by revealing the association between different variables and collision risk. Regarding takeover requirement analysis, CPTR-LLM accurately comprehends the characteristics of the pre-takeover scene and comprehensively assesses the takeover requirement level in conjunction with collision risk, thereby effectively reducing unnecessary takeovers in simple driving scenarios and unsafe takeovers in scenarios with multiple moving targets. Overall, the findings of this paper offer significant insights into the application and takeover requirements of LLM in the domain of road safety. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,FALSE,FALSE,FALSE,Not LLM4RE,,
Scopus,P009,"L., Yang, Longxing; Y., Luo, Yixing; H., Gao, Hao; Y., Fan, Yingshuang; J., Zhang, Jingru; X., Li, Xiaofeng; X., Dong, Xiaogang; B., Gu, Bin; Z., Jin, Zhi; M., Yang, Mengfei",Evaluating Large Language Models for Requirements Question Answering in Industrial Aerospace Software,2025,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,0,10.1145/3696630.3728560,"Aerospace software presents significant challenges to requirements engineering due to its design complexity and stringent safety standards. When manually drafting requirement documents, engineers need strong domain knowledge while also navigating heterogeneous data, which leads to errors and inefficiencies. This paper evaluates the capabilities of large language models (LLMs) in understanding aerospace software requirements and their potential to assist in requirements question answering (QA). We develop an aerospace requirements QA benchmark based on industrial software assets, books, and research materials, creating a total of 6, 696 QA pairs across ten tasks and three heterogeneous data formats: text, tables, and formulas. We then evaluate the domain-specific performance of five mainstream open-source LLMs using zero-shot learning, few-shot learning, and retrieval-augmented generation (RAG) techniques. We further categorize hallucinations from LLMs and quantitatively analyze error distributions. Moreover, we conduct a user study to assess the LLM’s practical usefulness when applying to requirements QA. The evaluation results show that (1) LLMs demonstrate limited performance in the aerospace software domain, (2) RAG techniques significantly enhance the capabilities of LLMs for text-based tasks, while few-shot learning improves the performance of most LLMs, (3) four distinct types of QA hallucinations are identified, and (4) LLM QA is particularly beneficial for junior engineers. This research provides valuable perspectives for the future application of LLMs in aerospace software. © 2025 Elsevier B.V., All rights reserved.",TRUE,TRUE,TRUE,FALSE,FALSE,,,
Scopus,P010,"A., Boudribila, Abderrahmane; A., Tajer, Abdelouahed; Z., Boulghasoul, Zakaria",Automatic Generation of PLC Control Code from Natural Language Requirement Specifications,2025,Ingenierie des Systemes d'Information,0,10.18280/isi.300618,"Developing control programs for manufacturing systems is time-consuming and requires expert control designers. While manual programming is common, it becomes complex as systems grow, leading to long development times, frequent errors, and difficult maintenance. To address these issues, researchers have introduced formal methods like Supervisory Control Theory (SCT) and model checking to improve precision and verification. Although these are some of the most advanced approaches, they are difficult to use in practice because they are time-consuming, require high mathematical expertise, and face scalability problems such as combinatorial explosion in large systems. This study aims to overcome these limitations by presenting an AI-based system that automatically generates programmable logic controller (PLC) code from natural language requirement specifications. The approach uses AutoFactory, a dataset of annotated specifications, and fine-tunes two Bidirectional Encoder Representations from Transformers (BERT)-based models to extract actuators, pre-actuators, and sensors before generating International Electrotechnical Commission (IEC) 61131‑3 Structured Text (ST) code. BERT‑Base achieved an F1 score of 0.9711, showing reliable component extraction. The study proves that transformer models can accurately detect control components and initiate logic generation. These results confirm that AI can assist and augment control designers by automating extraction and initial coding. Future work will complete the pipeline to deliver verified IEC 61131‑3 code ready for industrial deployment. © 2025 Elsevier B.V., All rights reserved.",TRUE,FALSE,TRUE,FALSE,FALSE,"requirements to code, so not purely RE ",,
