ID,Authors,Title,Year,Source title,Cited by,DOI,Abstract
P003,"E.C., Groen, Eduard C.; F., Dalpiaz, Fabiano; M., van Vliet, Martijn; B., Winter, Boris; J., Doerr, Joerg; S., Brinkkemper, Sjaak","Classification of quality characteristics in online user feedback using linguistic analysis, crowdsourcing and LLMs",2025,Journal of Systems and Software,0,10.1016/j.jss.2025.112533,"Software qualities such as usability or reliability are among the strongest determinants of mobile app user satisfaction and constitute a significant portion of online user feedback on software products, making it a valuable source of quality-related feedback to guide the development process. The abundance of online user feedback warrants the automated identification of quality characteristics, but the online user feedback's heterogeneity and the lack of appropriate training corpora limit the applicability of supervised machine learning. We therefore investigate the viability of three approaches that could be effective in low-data settings: language patterns (LPs) based on quality-related keywords, instructions for crowdsourced micro-tasks, and large language model (LLM) prompts. We determined the feasibility of each approach and then compared their accuracy. For the complex multiclass classification of quality characteristics, the LP-based approach achieved a varied precision (0.38–0.92) depending on the quality characteristic, and low recall; crowdsourcing achieved the best average accuracy in two consecutive phases (0.63, 0.72), which could be matched by the best-performing LLM condition (0.66) and a prediction based on the LLMs’ majority vote (0.68). Our findings show that in this low-data setting, the two approaches that use crowdsourcing or LLMs instead of involving experts achieved accurate classifications, while the LP-based approach had only limited potential. The promise of crowdsourcing and LLMs in this context might even extend to building training corpora. © 2025 Elsevier B.V., All rights reserved."
P005,"S., Saleem, Summra; M.N., Asim, Muhammad Nabeel; A.R., Dengel, Andreas R.",PassionNet: An innovative framework for duplicate and conflicting requirements identification,2025,Expert Systems with Applications,0,10.1016/j.eswa.2025.128684,"Early detection of duplicate and conflicting requirements in software development lifecycle is crucial to achieve software project efficiency, quality, and market success. Primarily, duplicate detection requires identifying semantic equivalence, intent alignment, functional overlap, and domain-specific terminology variations between differently worded requirements. Whereas, conflict detection demands recognising logical contradictions, constraint violations, resource conflicts and temporal incompatibilities between requirements. To handle multi-dimensional demands of two different task types, researchers have developed 32 AI based duplicate and conflicting requirement detection predictors. However, despite the utility of sophisticated large language models (LLMs) and sampling techniques, existing approaches significantly lack in performance because they fail to comprehensively handle multi-dimensional demands of both tasks. To address these gaps, this paper presents a modular framework “PassionNet” which implements a novel strategy of integrating 10 different multi-dimensional similarity assessments with the contextual understanding of 8 unique language model variants. The framework enables three distinct pipeline types: language model-based pipelines that capture semantic intent, similarity knowledge-driven pipelines that detect lexical, structural and distributional patterns, and hybrid pipelines that combine both approaches to simultaneously assess all dimensions of requirement relationships. Our experimental evaluation of 760 pipelines across six public datasets demonstrates that hybrid pipelines outperform the other two approaches in terms of F1-score as compared to state-of-the-art methods. Specifically, the hybrid pipeline achieves an improvement in F1-score of approximately 4 % on the WorldVista dataset, 5 % on the UAV dataset and 3 % on the Pure dataset as compared to the state-of-the-art models. Statistical validation through t-tests confirms the significance of these improvements (p < 0.1 with 10 permutations, approaching zero with 1000 permutations). The results provide empirical evidence that effective requirement analysis requires simultaneously assessing semantic, lexical, structural, and logical dimensions of requirements rather than focusing on isolated aspects. To facilitate software engineers, researchers and practitioners, PassionNet web application is deployed at https://sds_requirement_engineering.opendfki.de/. © 2025 Elsevier B.V., All rights reserved."
P009,"L., Yang, Longxing; Y., Luo, Yixing; H., Gao, Hao; Y., Fan, Yingshuang; J., Zhang, Jingru; X., Li, Xiaofeng; X., Dong, Xiaogang; B., Gu, Bin; Z., Jin, Zhi; M., Yang, Mengfei",Evaluating Large Language Models for Requirements Question Answering in Industrial Aerospace Software,2025,Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,0,10.1145/3696630.3728560,"Aerospace software presents significant challenges to requirements engineering due to its design complexity and stringent safety standards. When manually drafting requirement documents, engineers need strong domain knowledge while also navigating heterogeneous data, which leads to errors and inefficiencies. This paper evaluates the capabilities of large language models (LLMs) in understanding aerospace software requirements and their potential to assist in requirements question answering (QA). We develop an aerospace requirements QA benchmark based on industrial software assets, books, and research materials, creating a total of 6, 696 QA pairs across ten tasks and three heterogeneous data formats: text, tables, and formulas. We then evaluate the domain-specific performance of five mainstream open-source LLMs using zero-shot learning, few-shot learning, and retrieval-augmented generation (RAG) techniques. We further categorize hallucinations from LLMs and quantitatively analyze error distributions. Moreover, we conduct a user study to assess the LLM’s practical usefulness when applying to requirements QA. The evaluation results show that (1) LLMs demonstrate limited performance in the aerospace software domain, (2) RAG techniques significantly enhance the capabilities of LLMs for text-based tasks, while few-shot learning improves the performance of most LLMs, (3) four distinct types of QA hallucinations are identified, and (4) LLM QA is particularly beneficial for junior engineers. This research provides valuable perspectives for the future application of LLMs in aerospace software. © 2025 Elsevier B.V., All rights reserved."
P013,"M., Bragilovski, Maxim; A.T., van Can, Ashley T.; F., Dalpiaz, Fabiano; A., Sturm, Arnon",Leveraging machines to derive domain models from user stories,2025,Requirements Engineering,0,10.1007/s00766-025-00442-9,"Domain models play a crucial role in software development, as they provide means for communication among stakeholders, for eliciting requirements, and for representing the information structure behind a database scheme or for model-driven development. However, creating such models is a tedious activity and automated support may assist in obtaining an initial domain model that can later be enriched by human analysts. In this paper, we compare the effectiveness of various approaches for deriving domain models from a given set of user stories. We contrast human derivation (of both experts and novices) with machine derivation; for the latter, we compare (i) the Visual Narrator: an existing rule-based NLP approach; (ii) a machine learning classifier that we feature engineered; and (iii) a generative AI approach that we constructed via prompt engineering with multiple configurations. Based on a benchmark dataset comprising nine collections of user stories and their corresponding domain models, the evaluation shows that while no approach matches human performance, large language models (LLMs) are not statistically outperformed by human experts in deriving classes. Additionally, a tuned version of the machine learning approach achieves results close to human performance in deriving associations. To better understand the results, we qualitatively analyze them and identify differences in the types of false positives as well as other factors that affect performance. © 2025 Elsevier B.V., All rights reserved."
P017,"J., Zhang, Jianzhang; J., Zhou, Jialong; J., Hua, Jinping; N., Niu, Nan; C., Liu, Chuang",Mining user privacy concern topics from app reviews,2025,Journal of Systems and Software,1,10.1016/j.jss.2025.112355,"Context: As mobile applications (apps) widely spread throughout our society and daily life, various personal information is constantly demanded by apps in exchange for more intelligent and customized functionality. An increasing number of users are voicing their privacy concerns through app reviews on app stores. Objective: The main challenge of effectively mining privacy concerns from user reviews lies in that reviews expressing privacy concerns are overridden by a large number of reviews expressing more generic themes and noisy content. In this work, we propose a novel automated approach to overcome that challenge. Method: Our approach first employs information retrieval and document embeddings to extract candidate privacy reviews in an unsupervised manner, which are further labeled to prepare the annotation dataset. Then, supervised classifiers are trained to automatically identify privacy reviews. Finally, an interpretable topic mining algorithm is designed to detect privacy concern topics contained in the privacy reviews. Results: Experimental results show that the best performing document embedding achieves an average precision of 96.80% in the top 100 retrieved candidate privacy reviews, outperforming the taxonomy-based baseline, which achieves 73.87%. All trained privacy review classifiers achieve an F<inf>1</inf> score above 91%, surpassing the keyword-matching baseline by as much as 7.5% and the large language model baseline by up to 2.74%. For detecting privacy concern topics from privacy reviews, our proposed algorithm achieves both better topic coherence and topic diversity than three strong topic modeling baselines, including LDA. Conclusion: Empirical evaluation results demonstrate the effectiveness of our approach in identifying privacy reviews and detecting user privacy concerns in app reviews. © 2025 Elsevier B.V., All rights reserved."
P018,"L., Wang, Lei; M., Wang, Mingchao; Y., Zhang, Yuanrong; J., Ma, Jian; H., Shao, Hongyu; Z., Chang, Zhixing",Automated Identification and Representation of System Requirements Based on Large Language Models and Knowledge Graphs,2025,Applied Sciences (Switzerland),1,10.3390/app15073502,"In the product design and manufacturing process, the effective management and representation of system requirements (SRs) are crucial for ensuring product quality and consistency. However, current methods are hindered by document ambiguity, weak requirement interdependencies, and limited semantic expressiveness in model-based systems engineering. To address these challenges, this paper proposes a prompt-driven integrated framework that synergizes large language models (LLMs) and knowledge graphs (KGs) to automate the visualization of SR text and structured knowledge extraction. Specifically, this paper introduces a template for information extraction tailored to arbitrary requirement documents, designed around five SysML-defined SR categories: functional requirements, interface requirements, performance requirements, physical requirements, and design constraints. By defining structured elements for each category and leveraging the GPT-4 model to extract key information from unstructured texts, the system can effectively extract and present the structured requirement information. Furthermore, the system constructs a knowledge graph to represent system requirements, visually illustrating the interdependencies and constraints between them. A case study applying this approach to Chapters 18–22 of the ‘Code for Design of Metro’ demonstrates the effectiveness of the proposed method in automating requirement representation, enhancing requirement traceability, and improving management. Moreover, a comparison of information extraction accuracy between GPT-4, GPT-3.5-turbo, BERT, and RoBERTa using the same dataset reveals that GPT-4 achieves an overall extraction accuracy of 84.76% compared to 79.05% for GPT-3.5-turbo and 59.05% for both BERT and RoBERTa. This proves the effectiveness of the proposed method in information extraction and provides a new technical pathway for intelligent requirement management. © 2025 Elsevier B.V., All rights reserved."
P019,"A.F., Subahi, Ahmad F.",Enhancing Software Sustainability: Leveraging Large Language Models to Evaluate Security Requirements Fulfillment in Requirements Engineering,2025,Systems,0,10.3390/systems13020114,"In the digital era, cybersecurity is integral for preserving national security, digital privacy, and social sustainability. This research emphasizes the role of non-functional equirements (NFRs) in developing secure software systems that enhance societal wellbeing by ensuring data protection, user privacy, and system robustness. Specifically, this study introduces a proof-of-concept approach by leveraging machine learning (ML) models to classify NFRs and identify security-related issues early in the software development lifecycle. Two experiments were conducted to assess the effectiveness of different models for binary and multi-class classification tasks. In Experiment 1, BERT-based models and artificial neural networks (ANNs) were fine-tuned to classify NFRs into security and non-security categories using a dataset of 803 statements. BERT-based models outperformed ANNs, achieving higher accuracy, precision, recall, and ROC-AUC scores, with hyperparameter tuning further enhancing the results. Experiment 2 assessed logistic regression (LR), a support vector machine (SVM), and XGBoost for the multi-class classification of security-related NFRs into seven categories. The SVM and XGBoost showed strong performance, achieving high precision and recall in specific categories. The findings demonstrate the effectiveness of advanced ML models in automating NFR classification, improving software security, and supporting social sustainability. Future work will explore hybrid approaches to enhance scalability and accuracy. © 2025 Elsevier B.V., All rights reserved."
P020,"N.D., Khan, Nek Dil; J.A., Khan, Javed Ali; J., Li, Jianqiang; T., Ullah, Tahir; Q., Zhao, Qing",Leveraging Large Language Model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks,2025,Expert Systems with Applications,4,10.1016/j.eswa.2024.125524,"For software evolution, user feedback has become a meaningful way to improve applications. Recent studies show a significant increase in analyzing end-user feedback from various social media platforms for software evolution. However, less attention has been given to the end-user feedback for low-rating software applications. Also, such approaches are developed mainly on the understanding of human annotators who might have subconsciously tried for a second guess, questioning the validity of the methods. For this purpose, we proposed an approach that analyzes end-user feedback for low-rating applications to identify the end-user opinion types associated with negative reviews (an issue or bug). Also, we utilized Generative Artificial Intelligence (AI), i.e., ChatGPT, as an annotator and negotiator when preparing a truth set for the deep learning (DL) classifiers to identify end-user emotion. For the proposed approach, we first used the ChatGPT Application Programming Interface (API) to identify negative end-user feedback by processing 71853 reviews collected from 45 apps in the Amazon store. Next, a novel grounded theory is developed by manually processing end-user negative feedback to identify frequently associated emotion types, including anger, confusion, disgust, distrust, disappointment, fear, frustration, and sadness. Next, two datasets were developed, one with human annotators using a content analysis approach and the other using ChatGPT API with the identified emotion types. Next, another round is conducted with ChatGPT to negotiate over the conflicts with the human-annotated dataset, resulting in a conflict-free emotion detection dataset. Finally, various DL classifiers, including LSTM, BILSTM, CNN, RNN, GRU, BiGRU and BiRNN, are employed to identify their efficacy in detecting end-users emotions by preprocessing the input data, applying feature engineering, balancing the data set, and then training and testing them using a cross-validation approach. We obtained an average accuracy of 94%, 94%, 93%, 92%, 91%, 91%, and 85%, with LSTM, BILSTM, RNN, CNN, GRU, BiGRU and BiRNN, respectively, showing improved results with the truth set curated with human and ChatGPT. Using ChatGPT as an annotator and negotiator can help automate and validate the annotation process, resulting in better DL performances. © 2024 Elsevier B.V., All rights reserved."
P026,"A., Boudribila, Abderrahmane; A., Tajer, Abdelouahed; Z., Boulghasoul, Zakaria",Intelligent extraction of manufacturing system components from natural language using transformer models,2025,International Journal of Production Research,0,10.1080/00207543.2025.2554311,"Writing control programs for manufacturing systems is time-consuming and requires expert knowledge. Traditional methods, whether heuristic or formal, often fail to scale with the complexity and flexibility of modern production systems. A key challenge limiting progress is the lack of labelled data tailored to the domain of control logic. This gap hinders the development of AI systems capable of automating control program generation from natural language specifications. In this work, we introduce AutoFactory, a new dataset specifically designed for this task, along with AutoLabel-NER, a custom labelling tool that supports efficient annotation. We frame component extraction as a Named Entity Recognition problem and fine-tune several transformer-based models to evaluate their ability to detect relevant entities in requirement specifications. We benchmark thirteen transformer-based models on this dataset and compare their performance. Our results show that language models can detect control components accurately. To continue toward automation, we propose a pipeline that maps extracted components to predefined local control logic blocks. This pipeline generates IEC 61131-3 Structured Text code without manual programming. Our work creates the first benchmark and method for AI-assisted control program generation. It provides a solid foundation for future research in intelligent industrial automation. © 2025 Elsevier B.V., All rights reserved."
P027,"H., Han, Han; Z., Huang, Zheng; J., He, Jianhua; K., Chen, Kai",LERE: A Method Based on LLMs and Enhanced EARS in Requirements Engineering,2025,,0,10.1109/ICOSSE65712.2025.00022,"Normalized requirements permeate the entire requirements engineering and serve as a crucial foundation for the project. To improve the accuracy of requirements normalization in Chinese, in this study, we propose a method: LERE, which is based on LLMs and an enhanced EARS paradigm. The enhanced EARS is an optimized version of the original English EARS, incorporating elements from Chinese linguistic structures. This method employs a two-step processing prompt, with each step utilizing the enhanced EARS to perform structural element analysis on the input. The first step involves preprocessing the input, while the second step normalizes the output from the preprocessing stage by refining its syntactic structure and semantic expression. We have constructed a dataset consisting of 138 Chinese requirements, categorized into eight types of errors. The dataset and prompts have been made publicly available. Testing results on this dataset using Qwen2.5 and ChatGPT-4o show that the performance of LERE improved by approximately 20% compared to baseline. © 2025 Elsevier B.V., All rights reserved."
