Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications,,,,,,,,,,,,,,
D001,Acharya2024,"Bugzilla bug reports gathered from June 2015 through December 2023, annotated with priority and severity labels.","Acharya, J., & Ginde, G. (2024). Graph Neural Network vs. Large Language Model: A Comparative Analysis for Bug Report Priority and Severity Prediction [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10892319",2024,https://zenodo.org/records/10892319,Creative Commons Attribution 4.0 International,Bug,Document,Verification & Validation,Classification,software,452257,en,"P1,P2,P3,P4,P5;Normal,S3,S4,Critical",-,P074,,,,,,,,,,,,,,
D002,AeroReqEval,QA pairs across tasks and formulas for understanding of aerospace software requirements.,"Yang, L., Luo, Y., Gao, H., Fan, Y., Zhang, J., Li, X., Dong, X., Gu, B., Jin, Z., & Yang, M. (2025). Evaluating large language models for requirements question answering in industrial aerospace software. In Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering (FSE Companion ’25) (pp. 366–377). Association for Computing Machinery. https://doi.org/10.1145/3696630.3728560",2025,https://anonymous.4open.science/r/AeroReqEval-19BD,None,QA,Pair,Analysis,Q&A,aerospace,6696,en,-,-,P009,,,,,,,,,,,,,,
D003,AutoFactory,Manufacturing requirements labelled with BIO tags to extract key components and support PLC code generation,"Boudribila, A., Tajer, A., & Boulghasoul, Z. (2025). AutoFactory dataset to support AI in manufacturing systems. Data in Brief, 62, 111938. https://doi.org/10.1016/j.dib.2025.111938",2025,https://huggingface.co/datasets/boudribila/AutoFactory,None,Requirements,Token,Specification,Classification,manufacturing,279830,en,"Actuator,Pre-actuator,Sensor,Defector,Other",-,P026,,,,,,,,,,,,,,
D004,AWARE,"App reviews annotated with aspect terms, categories, and sentiments","Nouf Alturaief, Hamoud Aljamaan, & Malak Baslyman. (2021). AWARE: Dataset for Aspect-Based Sentiment Analysis of Apps Reviews (1.0.0) [Data set]. 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW). Zenodo. https://doi.org/10.5281/zenodo.5528481",2021,https://zenodo.org/records/5528481,Creative Commons Attribution 4.0 International,User reviews,Sentence,Verification & Validation,Classification,mobile,11482,en,-,-,P093,,,,,,,,,,,,,,
D005,Azeem2023,Data processing agreements (DPAs) sentences annotated with GDPR provisions (P1...P19),"Azeem, M.I., Abualhaija, S. A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs. Empir Software Eng 29, 96 (2024). https://doi.org/10.1007/s10664-024-10491-3",2023,https://figshare.com/s/77338e558ffb6adf6f55,Creative Commons Attribution 4.0 International,Legal text,Sentence,Verification & Validation,Classification,legal,31185,en,"Provision 1, Provision 2, Provision 3, Provision 4, Provision 5, Provision 6, Provision 7, Provision 8, Provision 9, Provision 10, Provision 11, Provision 12, Provision 13, Provision 14, Provision 15, Provision 16, Provision 17, Provision 18, Provision 19",-,P075,,,,,,,,,,,,,,
D006,Bozygit2024,"Functional requirements from various software systems, such as educational, business, and hospitality settings.","Fatma Bozyigit, Tolgahan Bardakci, Alireza Khalilipour, Moharram Challenger, Guus Ramackers, Onder Babur, Michel R. V. Chaudron (2023). Dataset for: Text Requirements to Models. IEEE Dataport. https://dx.doi.org/10.21227/r9j6-nd62",2023,https://ieee-dataport.org/documents/dataset-text-requirements-models,None,Requirements,Document,Analysis,Extraction,"education,business,healthcare",120,en,-,D046,P065,,,,,,,,,,,,,,
D007,Bragilovski2024,User stories dataset from three collections from online repositories classified according to project-specific knowledge.,"Bragilovski, M., van Can, A. T., Dalpiaz, F., & Sturm, A. (2024). Material of the paper ""Deriving Domain Models from User stories: Human vs. Machines"" [Data set]. Zenodo. https://doi.org/10.5281/zenodo.12740518",2024,https://zenodo.org/records/12740518,Creative Commons Attribution 4.0 International,User stories,Document,Specification,Modelling,"services,software,education",487,en,-,-,"P013,P112",,,,,,,,,,,,,,
D008,Bugzilla_conflicts,"Post pairs from Bugzilla labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,Management,Traceability,software,4090,en,"Neutral,Conflict",-,P005,,,,,,,,,,,,,,
D009,CCHIT,Cross-level requirements dataset for traceability tasks from the Certification Commission for Healthcare Information Technology healthcare project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/CCHIT.csv,None,Requirements,Pair,Management,Traceability,healthcare,252,en,"Positive,Negative",-,"P049,P058,P116",,,,,,,,,,,,,,
D010,CM1,Cross-level requirements dataset for traceability tasks from the CM1 aerospace project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/CM1Dataset.csv,None,Requirements,Pair,Management,Traceability,aerospace,671,en,"Positive,Negative",-,"P049,P058,P116",,,,,,,,,,,,,,
D011,CM1-Modis,Cross-level requirements dataset for traceability tasks from the aerospace domain,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/CM1-Modis.csv,None,Requirements,Pair,Management,Traceability,aerospace,720,en,"Positive,Negative","D010,D036",P049,,,,,,,,,,,,,,
D012,CoffeeMachine_conflicts,Collection of requirement datasets from the CoffeeMachine project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution 4.0 International,Requirements,Pair,Management,Traceability,services,29,en,"Consistent,Inconsistent",-,P047,,,,,,,,,,,,,,
D013,CQ-BEN,Competency questions (CQ) repository integrating datasets from multiple independent studies.,"Alharbi, R., de Berardinis, J., Grasso, F., Payne, T. R., & Tamma, V. (2024, November). Characteristics and desiderata for competency question benchmarks. In Proceedings of the ISWC 2024 Special Session on Harmonising Generative AI and Semantic Web Technologies",2024,https://github.com/KE-UniLiv/CQ-benchmark/,None,Questions,Sentence,Elicitation,Extraction,software,3780,en,-,-,P057,,,,,,,,,,,,,,
D014,Cross-project_trace,Cross-level requirements dataset for linking high-level requirements and low-level requirements,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/Cross_dataset.csv,None,Requirements,Pair,Management,Traceability,"aerospace,software,healthcare",1597,en,"Positive,Negative","D010,D036,D020,D057,D027,D009",P049,,,,,,,,,,,,,,
D015,Dalpiaz2018,Requirements expressed as user stories,"Dalpiaz, Fabiano (2018), “Requirements data sets (user stories)”, Mendeley Data, V1, doi: 10.17632/7zbk8zsd8y.1",2018,https://data.mendeley.com/datasets/7zbk8zsd8y/1,Creative Commons Attribution 4.0 International,User stories,Document,Analysis,Extraction,software,1669,en,-,-,"P148,P155",,,,,,,,,,,,,,
D016,DOSSPRE,Collection of students’ software project requirements including both security-related and non-security-related items.,"Kadebu, Prudence (2024), “Dataset of Students’ Software Projects Requirements (DOSSPRE)”, Mendeley Data, V2, doi: 10.17632/23xtbvk6yp.2",2024,https://data.mendeley.com/datasets/23xtbvk6yp/2,Creative Commons Attribution 4.0 International,Requirements,Document,Analysis,Classification,academia,1317,en,"Security,Non-Security,Functional,Usability,Portability,Performance,Availability,Authentication,Authorization,Immunity,Integrity,Intrusion detection,Confidentiality,Auditing,Survivability,Maintainability",-,P032,,,,,,,,,,,,,,
D017,Dronology,Requirements descriptions from an open-source project on Unmanned Aerial Vehicle (UAV) by the University of Notre Dame.,"Jane Cleland-Huang, Michael Vierhauser, Sean Bayley: Dronology: An Incubator for Cyber-Physical System Research, New Ideas and Emerging Results Track, International Conference on Software Engineering (ICSE), Gothenburg, Sweden, 2018.",2018,https://dronology.info/datasets/,None,Requirements,Document,Elicitation,Extraction,aerospace,99,en,-,-,P005,,,,,,,,,,,,,,
D018,Elenga2024,Collection of requirement s from various projects labelled as contradicting and non-contradicting.,"Gärtner, A.E., Göhlich, D. Automated requirement contradiction detection through formal logic and LLMs. Autom Softw Eng 31, 49 (2024). https://doi.org/10.1007/s10515-024-00452-x",2024,https://static-content.springer.com/esm/art%3A10.1007%2Fs10515-024-00452-x/MediaObjects/10515_2024_452_MOESM1_ESM.csv,None,Requirements,Pair,Management,Traceability,"automotive,software",87,en,"Simplex Contradictory,Idem Contradictory,Alius Contradictory,Simplex Contrary,Idem Contrary,Alius Contrary,Simplex Subaltern,Idem Subaltern,Alius Subaltern, None",-,P069,,,,,,,,,,,,,,
D019,ETCS_conflicts,Collection of requirement datasets from the ETCS project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution 4.0 International,Requirements,Pair,Management,Traceability,railway,34,en,"Consistent,Inconsistent",-,P047,,,,,,,,,,,,,,
D020,GANTT,Cross-level requirements dataset for traceability tasks from the GANTT software project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/GANNTDataset.csv,None,Requirements,Pair,Management,Traceability,software,204,en,"Positive,Negative",-,"P049,P058,P116",,,,,,,,,,,,,,
D021,GANTT-WARC,Cross-level requirements dataset for traceability tasks from the software domain,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/cross_project/Cross_dataset.csv,None,Requirements,Pair,Management,Traceability,software,460,en,"Positive,Negative","D020,D057",P049,,,,,,,,,,,,,,
D022,Groen2025_P1,"User reviews classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution 4.0 International,User reviews,Document,Verification & Validation,Classification,mobile,1000,en,"Helpful,Useless",-,P003,,,,,,,,,,,,,,
D023,Groen2025_P2,"User review sentences classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution 4.0 International,User reviews,Sentence,Verification & Validation,Classification,mobile,1347,en,"Helpful,Useless",-,P003,,,,,,,,,,,,,,
