Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications
D001,Groen2025_P1,"User reviews classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Document,verification & validation,classification,multiple,1000,en,"Helpful,Useless",-,P003
D002,Groen2025_P2,"User review sentences classified into ""helpful"" and ""useless"" from the perspective of the developer of an app.","Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Sentence,verification & validation,classification,multiple,1347,en,"Helpful,Useless",-,P003
D003,Groen2025_P3,User review sentences classified into a taxonomy of quality aspects.,"Groen, E. C., Dalpiaz, F., van Vliet, M., Winter, B., Doerr, J., & Brinkkemper, S. (2025). Classification of Quality Characteristics in Online User Feedback using Linguistic Analysis, Crowdsourcing and LLMs: Online Appendix and Supplementary Material [Data set]. En Journal of Systems and Software. Zenodo. https://doi.org/10.5281/zenodo.15604749",2025,https://zenodo.org/records/15604749,Creative Commons Attribution Share Alike 4.0 International,User reviews,Sentence,verification & validation,classification,multiple,624,en,"Feature Request,User-friendliness,Stability,Performance,Security,Compatibility,_multiple",-,P003
D004,UAV_conflicts,"Requirement pairs related to Unmanned Aerial Vehicle (UAV) control system operations labeled as ""conflict"" or ""neutral""","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,aerospace,6670,en,"Neutral,Conflict",-,P005
D005,WorldVista_conflicts,"Requirements pairs related to health management system labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,healthcare,10878,en,"Neutral,Conflict",-,P005
D006,PURE_conflicts,"Requirements pairs collected from the web from multiple domains labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,multiple,2211,en,"Neutral,Conflict",D013,P005
D007,OPENCOSS_conflicts,"Requirements pairs related to the Open Platform for Evolutionary Certification Of Safety-critical Systems for railway, avionics, and automotive industries, labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,automotive,6786,en,"Neutral,Conflict",-,P005
D008,StackOverflow_conflicts,"Post pairs from StackOverflow labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,management,traceability,software,4329,en,"Neutral,Conflict",-,P005
D009,Bugzilla_conflicts,"Post pairs from Bugzilla labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,management,traceability,software,4090,en,"Neutral,Conflict",-,P005
D010,AeroReqEval,QA pairs across tasks and formulas for understanding of aerospace software requirements.,"Yang, L., Luo, Y., Gao, H., Fan, Y., Zhang, J., Li, X., Dong, X., Gu, B., Jin, Z., & Yang, M. (2025). Evaluating large language models for requirements question answering in industrial aerospace software. In Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering (FSE Companion ’25) (pp. 366–377). Association for Computing Machinery. https://doi.org/10.1145/3696630.3728560",2025,https://anonymous.4open.science/r/AeroReqEval-19BD,None,QA,Pair,analysis,Q&A,aerospace,6696,en,-,-,P009
D011,Bragilovski2024,User stories dataset from three collections from online repositories classified according to project-specific knowledge.,"Bragilovski, M., van Can, A. T., Dalpiaz, F., & Sturm, A. (2024). Material of the paper ""Deriving Domain Models from User Stories: Human vs. Machines"" [Data set]. Zenodo. https://doi.org/10.5281/zenodo.12740518",2024,https://zenodo.org/records/12740518,Creative Commons Attribution Share Alike 4.0 International,User stories,Document,specification,modelling,multiple,487,en,*,-,P013
D012,Motger2024,App reviews annotated with app features extracted from a popular software recommendation platform,"Motger, Q., Franch, X., Marco, J. (2023). Mobile Feature-Oriented Knowledge Base Generation Using Knowledge Graphs. In: Abelló, A., et al. New Trends in Database and Information Systems. ADBIS 2023. Communications in Computer and Information Science, vol 1850. Springer, Cham. https://doi.org/10.1007/978-3-031-42941-5_24",2023,https://github.com/nlp4se/t-frex,GNU General Public License v3.0 ,,,,,,,en,,-,P131
D013,PURE,Publicly available natural language requirements documents collected from the Web,"Ferrari, A., Spagnolo, G. O., & Gnesi, S. (2018). PURE: a Dataset of Public Requirements Documents (2.0) [Data set]. 2017 IEEE 25th International Requirements Engineering Conference (RE), Lisbon, Portugal. Zenodo. https://doi.org/10.5281/zenodo.7118517",2018,https://zenodo.org/records/7118517,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,,traceability,healthcare,,en,-,-,"P080,P042,P052,P078"
D014,Guidotti2024,"Requirements written in the Property Specification Pattern (PSP) format, specifically tailored for the automotive domain","Guidotti, D., Pandolfo, L., Pulina, L., & Azzena, S. (2024). Automotive Domain Property Specification Pattern Dataset [Data set]. Zenodo. https://doi.org/10.5281/zenodo.13373276",2024,https://zenodo.org/records/13373276,GNU General Public License v3.0 ,,,,,,,,,,P089
D015,AWARE,"App reviews annotated with aspect terms, categories, and sentiments",,,https://zenodo.org/records/5528481,,,,,,,,,,,P093
D016,Yilongfei2024_1,Requirements with their corresponding LTL formulas,,,https://github.com/AnonymousBreeze/LTL-Learner/blob/master/Dataset/Dataset_1.xlsx,,,,,,,,,,,P097
D017,Yilongfei2024_2,Derived from a public dataset on Huggingface about NL-LTL,,,https://huggingface.co/datasets/cRick/NL-to-LTL-Synthetic-Dataset,,,,,,,,,,,P097
D018,PCTD,Facebook app reviews classified according to their relevance with respect to privacy concerns,,,https://github.com/zhangjianzhang/PCTD/,None,User reviews,Document,verification & validation,classification,social networks,500,en,"Privacy review, Privacy-irrelevant review",-,P017
D019,MetroCode_types,Requirements from Chapters 18-22 from the 'Code for Design of Metro' classified into requirement types,,,https://huggingface.co/datasets/OrangeeSofty/Metro_Code_Chapters_18_to_22_Data/tree/main/out_bio_txt,Apache 2.0,Requirements,Document,analysis,classification,transportation,516,chn,"Functional requirements,Interface requirements,Performance requirements,Physical requirements,Design constraints",-,P018
D020,MetroCode_entities,Requirements from Chapters 18-22 from the 'Code for Design of Metro' labelled with BIO tags for requirements information extraction,,,https://huggingface.co/datasets/OrangeeSofty/Metro_Code_Chapters_18_to_22_Data/tree/main/out_bio_txt,Apache 2.0,Requirements,Token,analysis,classification,transportation,14032,chn,"Subject,Attribute,Objec,Action,Function,Value,Principle,Condition,Outside ",D019,P018
D021,PROMISE,Requirements classified into functional and non-functional sub-types,"Menzies, T., Krishna, R., Pryor, D. (2016). The Promise Repository of Empirical Software Engineering Data; https://openscience.us/repo. North Carolina State University, Department of Computer Science",2016,https://openscience.us/repo/requirements/requirements-other/nfr.html,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,625,en,"Functional,Availability,Legal,Look and feel,Maintainability,Operational,Performance,Scalability,Security,Usability,Fault tolerance,Portability",-,"P019,P047,P121"
D022,PROMISE_exp,Extension from PROMISE dataset containing requirements classified into functional and non-functional sub-types,"Lima, M.; Valle, V.; Costa, E.; Lira, F.; Gadelha, B. Software engineering repositories: Expanding the PROMISE database. In Proceedings of the 33rd Brazilian Symposium on Software Engineering, Salvador, Brazil, 23–27 September 2019; pp. 427–436.",2019,https://github.com/AleksandarMitrevski/se-requirements-classification,None,Requirements,Document,analysis,classification,multiple,969,en,"Functional,Availability,Legal,Look and feel,Maintainability,Operational,Performance,Scalability,Security,Usability,Fault tolerance,Portability",D021,"P019,P028,P052,P120"
D023,PROMISE_exp_security,Extension from PROMISE_exp dataset containing requirements classified as security NFRs and non-security NFRs.,"Subahi, A. F. (2025). Enhancing Software Sustainability: Leveraging Large Language Models to Evaluate Security Requirements Fulfillment in Requirements Engineering. Systems, 13(2), 114. https://doi.org/10.3390/systems13020114 ",2025,???,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,803,en,"Security,Non-security",D022,P019
D024,Khan2025,App reviews annotated with emotion labels by humans and ChatGPT,"Khan, N. D., Khan, J. A., Li, J., Ullah, T., & Zhao, Q. (2025). Leveraging large language model ChatGPT for enhanced understanding of end-user emotions in social media feedbacks. Expert Systems with Applications, 261, 125524. https://doi.org/10.1016/j.eswa.2024.125524",2025,https://github.com/nekdil566/Experimental-work-and-datasets/blob/main/R2_ChatGPt_datasett.csv,None,User reviews,Document,verification & validation,classification,multiple,11810,en,"Anger,Confusion,Disgust,Distrust,Disappointment,Fear,Frustration,Sadness",-,P020
D025,AutoFactory,Manufacturing requirements labelled with BIO tags to extract key components and support PLC code generation,"Boudribila, A., Tajer, A., & Boulghasoul, Z. (2025). AutoFactory dataset to support AI in manufacturing systems. Data in Brief, 62, 111938. https://doi.org/10.1016/j.dib.2025.111938",2025,https://huggingface.co/datasets/boudribila/AutoFactory,None,Requirements,Token,specification,classification,manufacturing,279830,en,"Actuator,Pre-actuator,Sensor,Defector,Other",-,P026
D026,LERE,Chinese requirements categorized into eight types of errors.,"H. Han, K. Chen, J. He and Z. Huang, ""LERE: A Method Based on LLMS and Enhanced Ears in Requirements Engineering,"" 2025 8th International Conference on Software and System Engineering (ICoSSE), Nice, France, 2025, pp. 80-85, doi: 10.1109/ICoSSE65712.2025.00022.",2025,https://github.com/hanhan13579/LERE,None,Requirements,Document,specification,classification,industry,138,chn,"Uniqueness,Conciseness,Verifiability,Feasibility,Avoidance of passive voice,Adherence to paradigms,Prohibition of symbols,Prohibition of pronouns",-,P027
D027,DOSSPRE,Collection of students’ software project requirements including both security-related and non-security-related items.,"Kadebu, Prudence (2024), “Dataset of Students’ Software Projects Requirements (DOSSPRE)”, Mendeley Data, V2, doi: 10.17632/23xtbvk6yp.2",2024,https://data.mendeley.com/datasets/23xtbvk6yp/2,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,academia,1317,en,"Security,Non-Security;Functional,Usability,Portability,Performance,Availability,Authentication,Authorization,Immunity,Integrity,Intrusion detection,Confidentiality,Auditing,Survivability,Maintainability",-,P032
D028,Hippargi2025,System and software requirements with test cases from an automotive firmware project annotated with traceability links.,"Hippargi, V. (2025). Case study on ChatGPT for RE [Data set]. GitHub. https://github.com/VibhaHippargi/CaseStudyonChatGPTforRE",2025,https://github.com/VibhaHippargi/CaseStudyonChatGPTforRE/tree/main,None,Requirements,Pair,management,traceability,automotive,20,en,-,-,P043
D029,Synthline_defects,Collection of requirements datasets collected from real software projects and student projects labelled with defect types.,-. (2024). Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11000349,2024,https://zenodo.org/records/11000349,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,131,en,"Optional,uncertain,directive,non-atomic,ambiguous,non-mesurable",-,P047
D030,Library_conflicts,Collection of requirement datasets from the Library project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,services,20,en,"Consistent,Inconsistent",-,P047
D031,CoffeeMachine_conflicts,Collection of requirement datasets from the CoffeeMachine project labelled with inconsistencies between requirement pairs.,"Alessandro Fantechi, Stefania Gnesi, Lucia Passaro, & Laura Semini. (2023). Supplementary material for: Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation [Data set]. Zenodo. https://doi.org/10.5281/zenodo.8089810",2023,https://zenodo.org/records/8089810,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,restauration,29,en,"Consistent,Inconsistent",-,P047
