"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shin S.Y.; Pastore F.; Bianculli D.; Baicoianu A.","Shin, Seung Yeob (55904927900); Pastore, Fabrizio (23985648500); Bianculli, Domenico (21741917400); Baicoianu, Alexandra (35178908700)","55904927900; 23985648500; 21741917400; 35178908700","Towards Generating Executable Metamorphic Relations Using Large Language Models","2024","Communications in Computer and Information Science","2178 CCIS","","","126","141","2","10.1007/978-3-031-70245-7_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204555205&doi=10.1007%2F978-3-031-70245-7_9&partnerID=40&md5=9b4de47cb5e6f4bfb82e3503ffab938c","Metamorphic testing (MT) has proven to be a successful solution to automating testing and addressing the oracle problem. However, it entails manually deriving metamorphic relations (MRs) and converting them into an executable form; these steps are time-consuming and may prevent the adoption of MT. In this paper, we propose an approach for automatically deriving executable MRs (EMRs) from requirements using large language models (LLMs). Instead of merely asking the LLM to produce EMRs, our approach relies on a few-shot prompting strategy to instruct the LLM to perform activities in the MT process, by providing requirements and API specifications, as one would do with software engineers. To assess the feasibility of our approach, we conducted a questionnaire-based survey in collaboration with Siemens Industry Software, a worldwide leader in providing industry software and services, focusing on four of their software applications. Additionally, we evaluated the accuracy of the generated EMRs for a Web application. The outcomes of our study are highly promising, as they demonstrate the capability of our approach to generate MRs and EMRs that are both comprehensible and pertinent for testing purposes. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","executable metamorphic relations; large language model; LLM; metamorphic testing","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85204555205"
"Fu J.; Pan T.; Zheng L.; Xue Z.","Fu, Jiaqi (58918487800); Pan, Tiejun (7202202493); Zheng, Leina (23991966300); Xue, Zichu (58918487900)","58918487800; 7202202493; 23991966300; 58918487900","The Research on Key Technologies for Intelligent Education Based on LLM","2024","Studies in Computational Intelligence","1130 LNCS","","","340","347","1","10.1007/978-3-031-50381-8_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186721451&doi=10.1007%2F978-3-031-50381-8_34&partnerID=40&md5=057949fcf776cb398e01d6c6949436f6","This article investigates the influence of the artificial intelligence model on intelligent education and explores the prospects of integrating virtual hu-man technology to enable the LLM model to perform instructional tasks. A digital teacher will be created via the integration of the LLM model with virtual human technology. The virtual human will perform live streaming on specific platforms, acting as a teacher for various subjects based on dif-ferent prompts, and engaging with the audience in the livestreaming envi-ronment. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Artificial intelligence; Smart education; Virtual person","Conference paper","Final","","Scopus","2-s2.0-85186721451"
"Vidaković D.; Luburić N.; Kovačević A.; Slivka J.","Vidaković, Dragan (19934628500); Luburić, Nikola (57191406831); Kovačević, Aleksandar (27967812900); Slivka, Jelena (36700444700)","19934628500; 57191406831; 27967812900; 36700444700","Enhancing software and learning with Serbian student feedback corpora","2025","Language Resources and Evaluation","59","4","","4193","4221","0","10.1007/s10579-025-09855-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010066565&doi=10.1007%2Fs10579-025-09855-y&partnerID=40&md5=6d350c763053ef28e716f34b11d5834a","Automated collection and analysis of student feedback within Intelligent Tutoring Systems are vital for the continuous refinement of both educational content and software performance, ensuring that learning environments remain responsive to student needs. This study presents the creation and annotation of Serbian student feedback corpora within an Intelligent Tutoring System, intending to enhance both software functionality and educational experiences. The research addresses gaps in existing studies by implementing a transparent and standardized data annotation process, with Inter-Annotator Agreement scores confirming the reliability of the annotation process. The resulting datasets were then processed using fine-tuned multilingual transformer models, with data augmentation techniques enhancing the analysis. Additionally, a few-shot prompting of a large language model was explored to further improve classification accuracy. The experimental results show that fine-tuned transformer models, combined with data augmentation, significantly enhance the accuracy of feedback analysis, achieving performance levels comparable to human annotators and surpassing baseline models. This automated approach to analyzing student feedback provides substantial time and resource savings for educators and software developers, enabling more efficient and timely improvements to both the software and the educational strategies. This work not only contributes to the development of Serbian language resources but also establishes a foundation for future research in Crowd-based Requirements Engineering and Text-based Emotion Detection within educational contexts. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","Crowd-based requirements engineering; Intelligent tutoring systems; Low-resource language; Natural language processing; Text-based emotion detection; Transformers","Article","Final","","Scopus","2-s2.0-105010066565"
"Alter S.","Alter, Steven (36093955400)","36093955400","Could a Large Language Model Contribute Significantly to Requirements Analysis?","2024","Lecture Notes in Business Information Processing","511 LNBIP","","","245","255","1","10.1007/978-3-031-61007-3_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197103918&doi=10.1007%2F978-3-031-61007-3_19&partnerID=40&md5=da53ba444d6d8d18f70c4990d1401c02","This research-in-progress paper presents a quasi-experiment in which three different ChatGPT-4 prompts (for system structure, analysis, and recommendations) are applied in standard or augmented form to the work system in each of three case studies (automated warehouses, ride hailing platforms, and medication administration systems). The augmented forms (treatments) are based on different sets of ideas. Each case study comprises 3000+ words. The prompts are detailed requests for responses of up to 500 words related to three steps (system structure, analysis, and recommendations) related to those cases. A null treatment serving as a quasi-control uses standard prompts for each case without augmentation. The first actual treatment is a revision of an analysis template used by MBA and EMBA students; the other six are sets of questions based on activity theory, a BPM design space, system principles, and three other approaches The research questions are whether ChatGPT-4 can produce a useful first cut at system structure, analysis, and recommendations and whether various augmentations of ChatGPT-4 prompts improve or extend the outputs significantly. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Large Language Model; Requirements Analysis; Systems Analysis and Design","Conference paper","Final","","Scopus","2-s2.0-85197103918"
"Wu D.; Zhang R.; Zucchelli E.M.; Chen Y.; Linares R.","Wu, Di (57201859912); Zhang, Raymond (59516898300); Zucchelli, Enrico M. (57201394449); Chen, Yongchao (59814368400); Linares, Richard (57202005934)","57201859912; 59516898300; 57201394449; 59814368400; 57202005934","APBench and benchmarking large language model performance in fundamental astrodynamics problems for space engineering","2025","Scientific Reports","15","1","7944","","","2","10.1038/s41598-025-91150-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000300601&doi=10.1038%2Fs41598-025-91150-5&partnerID=40&md5=94e46f148b9495e551eb1166e048caf5","The problem-solving abilities of Large Language Models (LLMs) have become a major focus of research across various STEM fields, including mathematics and physics. Substantial progress has been made in both measuring and enhancing these abilities. Among the multitude of ways to advance space engineering research, one promising direction is the application of LLMs and foundational models in aiding in solving Ph.D. level research problems. To understand the full potential of LLMs in astrodynamics, we have developed the first Astrodynamics Problems Benchmark (APBench) to evaluate the capabilities of LLMs in this field. We crafted for the first time a collection of questions and answers that range a wide variety of subfields in astrodynamics, astronautics, and space engineering. On top of this first dataset built for space engineering, we evaluate the performance of foundational models, both open source models and closed ones, to validate their current capabilities in space engineering, and paving the road for further advancements towards a definition of intelligence for space. © The Author(s) 2025.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000300601"
"Reinhartz-Berger I.; Solomon A.; Zdravkovic J.; Krogstie J.; Proper H.A.","Reinhartz-Berger, Iris (55917794500); Solomon, Adir (57203436985); Zdravkovic, Jelena (22434306700); Krogstie, John (6602196721); Proper, Henderik A. (6701750449)","55917794500; 57203436985; 22434306700; 6602196721; 6701750449","Exploring modeling methods for information systems analysis and design: a data-driven retrospective","2025","Software and Systems Modeling","","","","","","1","10.1007/s10270-025-01302-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009326275&doi=10.1007%2Fs10270-025-01302-4&partnerID=40&md5=2f9960dc21528e7e83dcdb4199bb7684","Modeling for information systems (IS) analysis and design offers broad insights into the advances and challenges of enterprise, business process, software, and conceptual modeling. In celebration of its 30th edition, this paper presents a data-driven retrospective analysis of studies published at the Exploring Modeling Methods for Systems Analysis and Development (EMMSAD) working conference from 2005 to 2024. EMMSAD has long been a key venue for research on Information Systems (IS) Modeling, covering areas such as conceptual modeling, enterprise modeling, and model-driven engineering, as well as the evaluation of modeling techniques and tools. Using machine learning, specifically Dynamic Topic Modeling (DTM) with BERTopic, this study identifies recurring topics, emerging trends, and shifts in research focus within the IS modeling community. The findings highlight key areas of alignment between IS modeling and the broader modeling landscape, providing insights into the field’s evolution and future research opportunities. © The Author(s) 2025.","BERTopic; Data-driven approach; Dynamic Topic Modeling; EMMSAD; IS analysis and design","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105009326275"
"Lano K.; Rahimi S.; Tehrani S.; Burgueño L.; Umar M.A.","Lano, Kevin (57204335207); Rahimi, Shekoufeh (36655800400); Tehrani, Sobhan (56446536100); Burgueño, Lola (55323008900); Umar, Mohammad Aminu (56985622500)","57204335207; 36655800400; 56446536100; 55323008900; 56985622500","Introduction to theme section on requirements formalisation","2024","Software and Systems Modeling","23","6","","1451","1453","0","10.1007/s10270-024-01241-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208921262&doi=10.1007%2Fs10270-024-01241-6&partnerID=40&md5=c1ab341375cc71dd217610c582a7d8ea","[No abstract available]","","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85208921262"
"Sami M.A.; Waseem M.; Zhang Z.; Rasheed Z.; Systä K.; Abrahamsson P.","Sami, Malik Abdul (58637639700); Waseem, Muhammad (57189504629); Zhang, Zheying (56068626800); Rasheed, Zeeshan (59264927700); Systä, Kari (6506558673); Abrahamsson, Pekka (7006011356)","58637639700; 57189504629; 56068626800; 59264927700; 6506558673; 7006011356","Early Results of an AI Multiagent System for Requirements Elicitation and Analysis","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15452 LNCS","","","307","316","8","10.1007/978-3-031-78386-9_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211913043&doi=10.1007%2F978-3-031-78386-9_20&partnerID=40&md5=1e4d15991495031cbb2550b15c6fb725","In agile software development, user stories capture requirements from the user’s perspective, emphasizing their needs and each feature’s value. Writing concise and quality user stories is necessary for guiding software development. Alongside user story generation, prioritizing these requirements ensures that the most important features are developed first, maximizing project value. This study explores the use of Large Language Models (LLMs) to automate the process of user story generation, quality assessment, and prioritization. We implemented a multi-agent system using Generative Pre-trained Transformers (GPT), specifically GPT-3.5 and GPT-4o, to generate and prioritize user stories from the initial project description. Our experiments on a real-world project demonstrate that GPT-3.5 handled user story generation well, achieving a higher semantic similarity score comnpared to the GPT-4o. Both models showed consistent performance in prioritizing requirements, effectively identifying the core features of the application. These early results indicate that LLMs have significant potential for automating requirements analysis, particularly generating and prioritizing user stories. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Generative AI; Large language model(s); Requirements Engineering; Requirements prioritization; Software Engineering","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85211913043"
"Rajbhoj A.; Somase A.; Sant T.; Vale S.; Kulkarni V.","Rajbhoj, Asha (36626383800); Somase, Akanksha (58921464800); Sant, Tanay (59367171200); Vale, Sushant (57191251428); Kulkarni, Vinay (8542305000)","36626383800; 58921464800; 59367171200; 57191251428; 8542305000","LLM4Model: Automated Requirements Specification Model Authoring","2025","Lecture Notes in Business Information Processing","557 LNBIP","","","128","136","0","10.1007/978-3-031-94590-8_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008683836&doi=10.1007%2F978-3-031-94590-8_16&partnerID=40&md5=f737414719befd6a245738695cebef91","Traditionally, early stages of the Software Development Life Cycle (SDLC), such as requirement elicitation and analysis are manual, require significant expertise. Creation of purposive machine-processable models is an intellect-intensive task requiring business domain as well as modeling expertise, which is in short supply. To address this, we propose the LLM4Model tool, a configurable, extensible, domain-agnostic solution for automating model authoring with Large Language Models (LLMs) to reduce cognitive load. We demonstrate its effectiveness with two real-world case studies, showing automated authoring of requirements specification model and sharing the results. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","AI in SDLC; GenAI; LLM; Model Authoring","Conference paper","Final","","Scopus","2-s2.0-105008683836"
"Schaad A.; Götz S.; Binder D.","Schaad, Andreas (23398476500); Götz, Stefan (57212722628); Binder, Dominik (57217701605)","23398476500; 57212722628; 57217701605","You Still have to Study On the Security of LLM Generated Code","2025","IFIP Advances in Information and Communication Technology","746 IFIPAICT","","","111","124","0","10.1007/978-3-031-92886-4_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006505997&doi=10.1007%2F978-3-031-92886-4_8&partnerID=40&md5=3d9de46ee45c169ee4c1a7f4fc942834","We witness an increasing usage of AI-assistants even for routine (classroom) programming tasks. However, the code generated on basis of a so called “prompt” by the programmer does not always meet accepted security standards. The actual quality of the programmers’ prompt determines whether generated code contains weaknesses or not. We analyse 4 major LLMs with respect to the security of generated Python and Javascript code using the MITRE CWE catalogue as the guiding security definition. Our results show that using different prompting techniques, some LLMs initially generate 65% code which is deemed insecure by a trained security engineer. On the other hand, LLMs generate code that is 94–100% secure with increasing manual guidance from an experienced engineer. © IFIP International Federation for Information Processing 2025.","AI-Assistant; Code Security; CWE; LLM; Prompting Techniques","Conference paper","Final","","Scopus","2-s2.0-105006505997"
