Authors,Title,Year,Source title,Cited by,DOI,Abstract
Vidaković D.; Luburić N.; Kovačević A.; Slivka J.,Enhancing software and learning with Serbian student feedback corpora,2025,Language Resources and Evaluation,0,10.1007/s10579-025-09855-y,"Automated collection and analysis of student feedback within Intelligent Tutoring Systems are vital for the continuous refinement of both educational content and software performance, ensuring that learning environments remain responsive to student needs. This study presents the creation and annotation of Serbian student feedback corpora within an Intelligent Tutoring System, intending to enhance both software functionality and educational experiences. The research addresses gaps in existing studies by implementing a transparent and standardized data annotation process, with Inter-Annotator Agreement scores confirming the reliability of the annotation process. The resulting datasets were then processed using fine-tuned multilingual transformer models, with data augmentation techniques enhancing the analysis. Additionally, a few-shot prompting of a large language model was explored to further improve classification accuracy. The experimental results show that fine-tuned transformer models, combined with data augmentation, significantly enhance the accuracy of feedback analysis, achieving performance levels comparable to human annotators and surpassing baseline models. This automated approach to analyzing student feedback provides substantial time and resource savings for educators and software developers, enabling more efficient and timely improvements to both the software and the educational strategies. This work not only contributes to the development of Serbian language resources but also establishes a foundation for future research in Crowd-based Requirements Engineering and Text-based Emotion Detection within educational contexts. © The Author(s), under exclusive licence to Springer Nature B.V. 2025."
Gärtner A.E.; Göhlich D.,Automated requirement contradiction detection through formal logic and LLMs,2024,Automated Software Engineering,16,10.1007/s10515-024-00452-x,"This paper introduces ALICE (Automated Logic for Identifying Contradictions in Engineering), a novel automated contradiction detection system tailored for formal requirements expressed in controlled natural language. By integrating formal logic with advanced large language models (LLMs), ALICE represents a significant leap forward in identifying and classifying contradictions within requirements documents. Our methodology, grounded on an expanded taxonomy of contradictions, employs a decision tree model addressing seven critical questions to ascertain the presence and type of contradictions. A pivotal achievement of our research is demonstrated through a comparative study, where ALICE’s performance markedly surpasses that of an LLM-only approach by detecting 60% of all contradictions. ALICE achieves a higher accuracy and recall rate, showcasing its efficacy in processing real-world, complex requirement datasets. Furthermore, the successful application of ALICE to real-world datasets validates its practical applicability and scalability. This work not only advances the automated detection of contradictions in formal requirements but also sets a precedent for the application of AI in enhancing reasoning systems within product development. We advocate for ALICE’s scalability and adaptability, presenting it as a cornerstone for future endeavors in model customization and dataset labeling, thereby contributing a substantial foundation to requirements engineering. © The Author(s) 2024."
Bragilovski M.; van Can A.T.; Dalpiaz F.; Sturm A.,Leveraging machines to derive domain models from user stories,2025,Requirements Engineering,3,10.1007/s00766-025-00442-9,"Domain models play a crucial role in software development, as they provide means for communication among stakeholders, for eliciting requirements, and for representing the information structure behind a database scheme or for model-driven development. However, creating such models is a tedious activity and automated support may assist in obtaining an initial domain model that can later be enriched by human analysts. In this paper, we compare the effectiveness of various approaches for deriving domain models from a given set of user stories. We contrast human derivation (of both experts and novices) with machine derivation; for the latter, we compare (i) the Visual Narrator: an existing rule-based NLP approach; (ii) a machine learning classifier that we feature engineered; and (iii) a generative AI approach that we constructed via prompt engineering with multiple configurations. Based on a benchmark dataset comprising nine collections of user stories and their corresponding domain models, the evaluation shows that while no approach matches human performance, large language models (LLMs) are not statistically outperformed by human experts in deriving classes. Additionally, a tuned version of the machine learning approach achieves results close to human performance in deriving associations. To better understand the results, we qualitatively analyze them and identify differences in the types of false positives as well as other factors that affect performance. © The Author(s) 2025."
Hey T.; Fuchß D.; Keim J.; Koziolek A.,Requirements Traceability Link Recovery via Retrieval-Augmented Generation,2025,Lecture Notes in Computer Science,1,10.1007/978-3-031-88531-0_27,"[Context and Motivation] In software development, various interrelated artifacts are created. Access to information on the relation between these artifacts eases understanding of the system and enables tasks such as change impact and software reusability analyses. Manual trace link creation is labor-intensive and costly, and thus is often missing in projects. Automation could enhance the development and maintenance efficiency. [Question/Problem] Current methods for automatically recovering traceability links between different types of requirements do not achieve the necessary performance to be applied in practice, or require pre-existing links for machine learning. [Principal Ideas and Results] We propose to address this limitation by leveraging large language models (LLMs) with retrieval-augmented generation (RAG) for inter-requirements traceability link recovery. In an empirical evaluation on six benchmark datasets, we show that chain-of-thought prompting can be beneficial, open-source models perform comparably to proprietary ones, and that the approach can outperform state-of-the-art and baseline approaches. [Contribution] This work presents an approach for inter-requirements traceability link recovery using RAG and provides the first empirical evidence of its performance. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Azeem M.I.; Abualhaija S.,A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,2024,Empirical Software Engineering,10,10.1007/s10664-024-10491-3,"Specifying legal requirements for software systems to ensure their compliance with the applicable regulations is a major concern of requirements engineering. Personal data which is collected by an organization is often shared with other organizations to perform certain processing activities. In such cases, the General Data Protection Regulation (GDPR) requires issuing a data processing agreement (DPA) which regulates the processing and further ensures that personal data remains protected. Violating GDPR can lead to huge fines reaching to billions of Euros. Software systems involving personal data processing must adhere to the legal obligations stipulated both at a general level in GDPR as well as the obligations outlined in DPAs highlighting specific business. In other words, a DPA is yet another source from which requirements engineers can elicit legal requirements. However, the DPA must be complete according to GDPR to ensure that the elicited requirements cover the complete set of obligations. Therefore, checking the completeness of DPAs is a prerequisite step towards developing a compliant system. Analyzing DPAs with respect to GDPR entirely manually is time consuming and requires adequate legal expertise. In this paper, we propose an automation strategy that addresses the completeness checking of DPAs against GDPR provisions as a text classification problem. Specifically, we pursue ten alternative solutions which are enabled by different technologies, namely traditional machine learning, deep learning, language modeling, and few-shot learning. The goal of our work is to empirically examine how these different technologies fare in the legal domain. We computed F2 score on a set of 30 real DPAs. Our evaluation shows that best-performing solutions yield F2 score of 86.7% and 89.7% are based on pre-trained BERT and RoBERTa language models. Our analysis further shows that other alternative solutions based on deep learning (e.g., BiLSTM) and few-shot learning (e.g., SetFit) can achieve comparable accuracy, yet are more efficient to develop. © The Author(s) 2024."
Abualhaija S.; Ceci M.; Briand L.,Legal Requirements Analysis: A Regulatory Compliance Perspective,2025,Handbook on Natural Language Processing for Requirements Engineering,1,10.1007/978-3-031-73143-3_8,"Modern software has been an integral part of everyday activities in many disciplines and application contexts. Introducing intelligent automation by leveraging artificial intelligence (AI) led to breakthroughs in many fields. The effectiveness of AI can be attributed to several factors, among which is the increasing availability of data. Regulations such as the General Data Protection Regulation (GDPR) in the European Union (EU) are introduced to ensure the protection of personal data. Software systems that collect, process or share personal data are subject to compliance with such regulations. Developing compliant software depends heavily on addressing legal requirements stipulated in applicable regulations, a central activity in the requirements engineering (RE) phase of the software development process. RE is concerned with specifying and maintaining requirements of a system-to-be, including legal requirements. Legal agreements which describe the policies organizations implement for processing personal data can provide an additional source to regulations for eliciting legal requirements. In this chapter, we explore a variety of methods for analysing legal requirements and exemplify them on GDPR. Specifically, we describe possible alternatives for creating machine-analysable representations from regulations, survey the existing automated means for enabling compliance verification against regulations and further reflect on the current challenges of legal requirements analysis. Analysing legal requirements is a core RE activity that relies to a large extent on natural language processing technologies. This chapter contributes with the necessary knowledge required for eliciting, representing and verifying legal requirements. © TheEditor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Ramírez-Rueda R.; Benítez-Guerrero E.; Mezura-Godoy C.; Bárcenas E.,A Systematic Literature Review of 10 years of Research on Program Synthesis and Natural Language Processing,2024,Programming and Computer Software,1,10.1134/S0361768824700737,"Abstract: Program synthesis is the process of automatically generating software from a requirement specification. This paper presents a systematic literature review focused on program synthesis from specifications expressed in natural language. The research problem centers on the complexity of automatically generating accurate and robust code from high-level, ambiguous natural language descriptions – a barrier that limits the broader adoption of automatic code generation in software development. To address this issue, the study systematically examines research published between 2014 and 2024, focusing on works that explore various approaches to program synthesis from natural language inputs. The review follows a rigorous methodology, incorporating search strings tailored to capture relevant studies from five major data sources: IEEE, ACM, Springer, Elsevier, and MDPI. The selection process applied strict inclusion and exclusion criteria, resulting in a final set of 20 high-quality studies. The findings reveal significant advancements in the field, particularly in the integration of large language models (LLMs) with program synthesis techniques. The review also highlights the challenges and concludes by outlining key trends and proposing future research directions aimed at overcoming these challenges and expanding the applicability of program synthesis across various domains. © Pleiades Publishing, Ltd. 2024."
Boukhlif M.; Kharmoum N.; Hanine M.; Lagmiri S.N.,Using LLMs to Analyze Software Requirements for Software Testing: A Comparative Study,2025,Lecture Notes in Networks and Systems,1,10.1007/978-3-031-86698-2_37,"The precision and clarity of Software Requirements (SR) are crucial for effective software testing and successful project delivery. Traditional methods of SR analysis, while effective, often demand substantial manual effort and are susceptible to human error. Recent advancements in Natural Language Processing (NLP), particularly with the development of Large Language Models (LLMs), present new opportunities for automating and enhancing the analysis of SRS documents. This paper presents a comparative study on the application of LLMs in analyzing SR for the purpose of improving software testing processes. Our research investigates the capabilities of LLMs in identifying ambiguities, inconsistencies, and gaps in SR documents, which are critical factors influencing the efficacy of software testing. We compare the performance of LLMs against conventional SRS analysis techniques, focusing on key metrics such as precision, recall, and the ability to generate actionable insights. The results of our study indicate that LLMs significantly enhance the accuracy and efficiency of SR analysis. LLMs demonstrated a high precision rate in detecting ambiguous terms and phrases, often suggesting clarifications that align closely with expert recommendations. Moreover, LLMs effectively identified inconsistencies within and across requirement documents, uncovering potential conflicts and redundancies that might be overlooked by traditional methods. These capabilities are particularly beneficial for improving the quality of test cases derived from SR, thereby enhancing the overall software testing process. In addition to performance metrics, the study explores the practical implications of integrating LLM-based analysis into existing software testing workflows. Factors such as scalability, cost-effectiveness, and the learning curve for practitioners are examined. However, the study also acknowledges the challenges and limitations associated with LLM adoption, including issues related to the interpretability of LLM outputs and the necessity for extensive domain-specific training data. Potential solutions and directions for future research are discussed to address these challenges. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Zadenoori M.A.; Zhao L.; Alhoshan W.; Ferrari A.,Automatic Prompt Engineering: The Case of Requirements Classification,2025,Lecture Notes in Computer Science,4,10.1007/978-3-031-88531-0_15,"Context and motivation: Large language models (LLMs) are increasingly used to address requirements engineering (RE) tasks, including trace-link recovery, legal compliance, model generation, and others. Question/problem: Most of the existing studies rely on static, non-adaptive prompting strategies that do not fully harness the models’ capabilities. Specifically, these studies overlook the potential of automatic prompting engineering (APE), a technique that allows LLMs to self-generate and fine-tune prompts to improve task performance. Principal ideas/results: This research preview aims to study the effectiveness of APE techniques in LLM-powered RE tasks. As a preliminary step, we perform a benchmarking study in which we compare APE techniques with more traditional prompting solutions for the task of requirements classification. Our results show that, on average and with some exceptions, APE outperforms the baselines. We outline research avenues, including the evaluation and tailoring of APE for other RE tasks, and considering the human-in-the-loop. Contribution: To the best of our knowledge, this is the first study to introduce APE in RE, paving the way for a deeper exploration of LLMs’ potential in this field. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
Barrientos M.; Winter K.; Rinderle-Ma S.,Automatic Extraction and Formalization of Temporal Requirements from Text: A Survey,2025,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ,0,10.1007/978-3-031-78338-8_14,"Natural Language Processing has opened new paths for business process management and requirements engineering, particularly in automating the extraction and formalization of temporal requirements from diverse documents such as system specifications, legal texts, and business process descriptions. Recently, approaches have been introduced to automate this task, employing various document formats as input and targeting different formal specifications. However, a key challenge persists: effectively comparing these approaches and choosing the most suitable one for a specific task. This paper aims to bridge this research gap by conducting a systematic literature review, including a detailed analysis and comparing existing approaches. This comparison is crucial to determine if the latest Large Language Model-based solutions could surpass existing methods in effectiveness and ease of use. The systematic literature review enables users to select the most suitable method based on their data and end goals. Moreover, this work proposes the NL2MTL (https://github.com/marisol-barrientos/nl2mtl, DLA: 22.04.2024) method to bridge some of the gaps identified in the literature analysis, i.e., establishing a comparable assessment method, under-representation of legal texts, poor output context management, and the necessity to automate the formalization of requirements, considering both quantitative and qualitative aspects of time. Addressing the latter aspect, we select Metric Temporal Logic (MTL) as formalization and provide the associated prompts and an evaluation of the NL2MTL output. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
